timestamp,Heading (Yaw),Pitch,Roll
1675451408,0.940000,0.470000,1.180000
1675451408,0.930000,0.580000,1.190000
1675451408,0.920000,0.550000,1.200000
1675451408,0.920000,0.490000,1.150000
1675451408,0.910000,0.420000,1.120000
1675451408,0.910000,0.370000,1.100000
1675451408,0.900000,0.330000,1.090000
1675451408,0.890000,0.300000,1.090000
1675451408,0.890000,0.230000,1.130000
1675451408,0.880000,0.180000,1.150000
1675451408,0.870000,0.130000,1.160000
1675451408,0.870000,0.090000,1.160000
1675451408,0.870000,0.060000,1.170000
1675451408,0.860000,0.060000,1.150000
1675451408,0.860000,0.060000,1.150000
1675451408,0.850000,0.070000,1.150000
1675451408,0.840000,0.080000,1.150000
1675451408,0.830000,0.090000,1.150000
1675451408,0.830000,0.050000,1.180000
1675451408,0.830000,0.030000,1.190000
1675451408,0.830000,0.010000,1.200000
1675451408,0.830000,0.000000,1.210000
1675451408,0.830000,-0.010000,1.210000
1675451408,0.830000,-0.010000,1.180000
1675451408,0.830000,-0.020000,1.150000
1675451408,0.840000,-0.020000,1.140000
1675451408,0.840000,-0.020000,1.120000
1675451408,0.840000,-0.030000,1.110000
1675451408,0.840000,-0.090000,1.090000
1675451408,0.850000,-0.120000,1.070000
1675451408,0.850000,-0.140000,1.050000
1675451408,0.850000,-0.150000,1.050000
1675451408,0.850000,-0.170000,1.040000
1675451408,0.840000,-0.110000,1.040000
1675451408,0.840000,-0.070000,1.040000
1675451408,0.840000,-0.050000,1.040000
1675451408,0.830000,-0.020000,1.040000
1675451408,0.830000,-0.010000,1.040000
1675451408,0.830000,-0.010000,1.050000
1675451408,0.840000,0.000000,1.050000
1675451408,0.830000,0.010000,1.070000
1675451408,0.820000,0.030000,1.080000
1675451408,0.810000,0.040000,1.100000
1675451408,0.800000,0.050000,1.060000
1675451408,0.790000,0.060000,1.030000
1675451408,0.790000,0.050000,1.000000
1675451408,0.800000,0.050000,0.970000
1675451408,0.800000,0.050000,0.950000
1675451408,0.800000,0.040000,1.000000
1675451408,0.800000,0.030000,1.030000
1675451408,0.790000,0.020000,1.050000
1675451408,0.790000,0.000000,1.080000
1675451408,0.780000,-0.010000,1.100000
1675451408,0.790000,-0.010000,1.090000
1675451408,0.800000,-0.010000,1.090000
1675451408,0.810000,-0.010000,1.090000
1675451408,0.820000,-0.010000,1.080000
1675451408,0.830000,-0.010000,1.080000
1675451408,0.840000,-0.030000,1.060000
1675451408,0.850000,-0.050000,1.050000
1675451408,0.850000,-0.060000,1.040000
1675451408,0.850000,-0.080000,1.050000
1675451408,0.840000,-0.100000,1.050000
1675451408,0.830000,-0.100000,1.040000
1675451408,0.820000,-0.110000,1.030000
1675451408,0.810000,-0.120000,1.030000
1675451408,0.810000,-0.130000,1.020000
1675451408,0.800000,-0.130000,1.020000
1675451408,0.800000,-0.110000,1.000000
1675451408,0.800000,-0.100000,0.990000
1675451408,0.810000,-0.090000,0.970000
1675451408,0.810000,-0.090000,0.960000
1675451408,0.820000,-0.080000,0.950000
1675451408,0.820000,-0.100000,0.950000
1675451408,0.820000,-0.120000,0.950000
1675451408,0.830000,-0.120000,0.950000
1675451408,0.830000,-0.130000,0.950000
1675451408,0.840000,-0.130000,0.950000
1675451408,0.850000,-0.120000,0.930000
1675451408,0.860000,-0.120000,0.920000
1675451408,0.870000,-0.110000,0.910000
1675451408,0.870000,-0.110000,0.910000
1675451408,0.870000,-0.100000,0.910000
1675451408,0.870000,-0.120000,0.930000
1675451408,0.870000,-0.120000,0.940000
1675451408,0.860000,-0.130000,0.950000
1675451408,0.860000,-0.130000,0.960000
1675451408,0.860000,-0.130000,0.970000
1675451408,0.860000,-0.120000,0.970000
1675451408,0.870000,-0.120000,0.970000
1675451408,0.870000,-0.120000,0.970000
1675451408,0.870000,-0.120000,0.970000
1675451408,0.870000,-0.120000,0.970000
1675451408,0.870000,-0.140000,0.970000
1675451408,0.870000,-0.150000,0.970000
1675451408,0.870000,-0.160000,0.970000
1675451408,0.870000,-0.170000,0.970000
1675451408,0.870000,-0.170000,0.980000
1675451408,0.880000,-0.160000,0.980000
1675451408,0.880000,-0.160000,0.990000
1675451408,0.870000,-0.150000,1.000000
1675451408,0.870000,-0.150000,1.000000
1675451408,0.860000,-0.140000,1.010000
1675451408,0.850000,-0.140000,1.030000
1675451408,0.840000,-0.140000,1.040000
1675451408,0.850000,-0.150000,1.040000
1675451408,0.850000,-0.160000,1.050000
1675451408,0.850000,-0.170000,1.050000
1675451408,0.840000,-0.160000,1.060000
1675451408,0.830000,-0.150000,1.060000
1675451408,0.830000,-0.150000,1.070000
1675451408,0.830000,-0.140000,1.060000
1675451408,0.840000,-0.140000,1.060000
1675451408,0.820000,-0.140000,1.050000
1675451408,0.810000,-0.140000,1.040000
1675451408,0.800000,-0.140000,1.030000
1675451408,0.780000,-0.140000,1.020000
1675451408,0.770000,-0.130000,1.020000
1675451408,0.760000,-0.130000,1.010000
1675451408,0.760000,-0.150000,1.010000
1675451408,0.770000,-0.160000,1.000000
1675451408,0.770000,-0.160000,1.000000
1675451408,0.770000,-0.170000,1.000000
1675451409,0.760000,-0.170000,0.990000
1675451409,0.760000,-0.150000,1.010000
1675451409,0.760000,-0.140000,1.020000
1675451409,0.750000,-0.130000,1.030000
1675451409,0.750000,-0.120000,1.040000
1675451409,0.740000,-0.120000,1.050000
1675451409,0.740000,-0.140000,1.050000
1675451409,0.740000,-0.160000,1.050000
1675451409,0.740000,-0.170000,1.050000
1675451409,0.750000,-0.180000,1.040000
1675451409,0.750000,-0.190000,1.040000
1675451409,0.760000,-0.180000,1.050000
1675451409,0.760000,-0.180000,1.050000
1675451409,0.760000,-0.170000,1.060000
1675451409,0.760000,-0.170000,1.060000
1675451409,0.770000,-0.170000,1.070000
1675451409,0.770000,-0.170000,1.060000
1675451409,0.770000,-0.170000,1.060000
1675451409,0.760000,-0.170000,1.060000
1675451409,0.760000,-0.170000,1.050000
1675451409,0.760000,-0.170000,1.050000
1675451409,0.760000,-0.160000,1.050000
1675451409,0.750000,-0.150000,1.050000
1675451409,0.750000,-0.140000,1.050000
1675451409,0.740000,-0.130000,1.050000
1675451409,0.740000,-0.130000,1.050000
1675451409,0.740000,-0.140000,1.040000
1675451409,0.740000,-0.150000,1.030000
1675451409,0.740000,-0.160000,1.010000
1675451409,0.750000,-0.170000,1.000000
